Common Name,Faculty,Number,Course Title,Schedule,Lecture Hours,Lab Hours,Weight,Description,Prerequisites,Corequisites,Restrictions,Equates,Departments,Offerings,External Course Codes

CLAS*3010,CLAS,3010,The Roman Revolution,W,4,0,0.50,An examination of the collapse of the Roman Republic and the development of the Imperial government under Augustus. The paradox of the external power and inner instability of Rome. ,"1 of CLAS*1000, CLAS*2000, HIST*2850",,,,School of Languages and Literatures,Offered in even-numbered years.,

CLAS*3020,CLAS,3020,History of the Hellenistic World,F,4,0,0.50,"The rise and fall of the Hellenistic states from the death of Alexander the Great until the Roman conquest, with political emphasis on the development of the monarchies and cultural emphasis on the Hellenization of the East. ","1 of CLAS*1000, CLAS*2000, HIST*2850",,,,School of Languages and Literatures,Offered in odd-numbered years.,

CLAS*3030,CLAS,3030,Epic Heroes and Poems,W,4,0,0.50,"The nature and significance of the epic hero. Epic as code and as critique of tradition. Oral poetry, and critical problems raised by it. The central texts are The Iliad, The Odyssey, and Virgil's Aeneid; other poems are also studied. ",CLAS*1000 or CLAS*2000,,,,School of Languages and Literatures,Offered in odd-numbered years.,

CLAS*3040,CLAS,3040,Greek Tragedy and Comedy,W,4,0,0.50,"The nature of tragedy, and the existential and moral questions raised by the plays of Aischylos, Sophokles, and Euripides. Comedy, fantasy, and society in Aristophanes. ",CLAS*1000 or CLAS*2000,,,,School of Languages and Literatures,Offered in even-numbered years.,

CLAS*3050,CLAS,3050,The Rise and Fall of Athens (in Greek),F,6,0,1.00,"This course augments CLAS*3000 for students of Greek through the reading and study in Greek of selected primary sources, such as Herodotus, Thucydides, and Plutarch. ",GREK*2020,,,,School of Languages and Literatures,Offered in even-numbered years.,

CLAS*3060,CLAS,3060,The Roman Revolution (in Latin),W,6,0,1.00,"This course augments CLAS*3010 for students of Latin through the reading and study in Latin of selected primary sources, notably Sallust, Cicero, Caesar, and Suetonius. ",LAT*2000,,,,School of Languages and Literatures,Offered in even-numbered years.,

CLAS*3070,CLAS,3070,History of the Hellenistic World (in Greek),F,6,0,1.00,"This course augments CLAS*3020 for students of Greek through the reading and study in Greek of selected Greek sources pertaining to the history of the Hellenistic World, primarily Polybius and Plutarch. ",GREK*2020,,,,School of Languages and Literatures,Offered in odd-numbered years.,

CLAS*3080,CLAS,3080,Epic Heroes and Poems (in Greek),W,6,0,1.00,This course augments CLAS*3030 for students of Greek through the reading in Greek of selected books from the Iliad and/or Odyssey. The course will include close study of the epic dialect and features of its formulaic language. ,GREK*2020,,,,School of Languages and Literatures,Offered in odd-numbered years.,

CLAS*3090,CLAS,3090,Greek Tragedy and Comedy (in Greek),W,6,0,1.00,This course augments CLAS*3040 for students of Greek through the reading and study in Greek of an extant play. ,GREK*2020,,,,School of Languages and Literatures,Offered in even-numbered years.,

CLAS*3100,CLAS,3100,Religion in Greece and Rome,F,4,0,0.50,"An examination of the varieties of religious experience and of religious activity in Greece and Rome, before the establishment of Christianity. Particular attention is paid both to the relations of religion to state and to the relations of the individual to gods. ",CLAS*1000 or CLAS*2000,,,,School of Languages and Literatures,Offered in even-numbered years.,

CLAS*3120,CLAS,3120,Religion in Greece and Rome (in Latin),F,6,0,1.00,This course augments CLAS*3100 for students of Latin through the reading and study of Latin primary sources. ,LAT*2000,,,,School of Languages and Literatures,Offered in even-numbered years.,

CLAS*3150,CLAS,3150,Space: Roman Art and Urbanism,W,3,0,0.50,"Introduction to Roman art and urbanism from the Early Republic to the end of the imperial period. The course will survey the developments of Roman art with an emphasis on architecture, sculpture and painting. It will illuminate the development of the urban space in the context of cultural, social and political life. (Also listed as ARTH*3150). ",,,,ARTH*3150,School of Languages and Literatures,Offered in even-numbered years.,

CLAS*3300,CLAS,3300,Directed Reading in Greek or Latin,U,3,0,0.50,"This course is designed for students of Greek or Latin who are seeking an enriched learning opportunity, through directed reading and/or research in the original language (Greek or Latin). Consult the Classical Studies faculty advisor for information about this opportunity. ","[LAT*2000, (1 of CLAS*2350, CLAS*3010, CLAS*3100, CLAS*4000)], or [GREK*2020, (1 of CLAS*3000, CLAS*3020, CLAS*3030, CLAS*3040)]",,Instructor consent required.,,School of Languages and Literatures,,

CLAS*3700,CLAS,3700,Experiential Learning and Language,"S,F,W",0,0,0.50,"This course provides an opportunity for independent study based on an experiential project in Classical Studies. The project (approximately 70 hours) must be approved by a faculty member in the School of Languages and Literatures. It will include research about experiential learning, a reflective piece of writing and a public oral presentation about the project. ",10.00 credits including 1.50 credits in Classics.,,A minimum cumulative average of 70% in all Classics course attempts. Instructor consent required.,,School of Languages and Literatures,,

CLAS*4000,CLAS,4000,Novel and Romance in Antiquity,F,4,0,0.50,"The historical and formal roots of fiction in the classical prose romances. Special attention is paid to the influence of myth, religion, historiography and ethical biography. Among texts studied are Daphnis and Chloe, Satyricon, and Aithiopika. ",CLAS*3030 or CLAS*3040,,,,School of Languages and Literatures,Offered in odd-numbered years.,

CLAS*4010,CLAS,4010,Novel and Romance in Antiquity (in Latin),F,6,0,1.00,This course augments CLAS*4000 for students of Latin through the reading and study in Latin of an extant novel. ,LAT*2000,,,,School of Languages and Literatures,Offered in odd-numbered years.,

CLAS*4150,CLAS,4150,Research Paper in Classics,"F,W",3,0,0.50,"This course is intended to complement courses in specified studies in classics. It engages the student in research and in critical writing, and permits the examination, in depth, of a topic of importance to the discipline and of interest to the student. ",1.50 credits in Classical Studies courses at the 3000 level,,,,School of Languages and Literatures,,

CLAS*4400,CLAS,4400,Seminar in Classics,W,3,0,0.50,"A seminar course complementing courses of specific study in classics. It seeks to define the nature of the discipline, its values and its procedures. Attention will be paid to recent methodological and ideological trends in the discipline. ",1.50 credits in Classical Studies at the 3000 level,,,,School of Languages and Literatures,,

CIS*1000,CIS,1000,Introduction to Computer Applications,"S,F,W",3,2,0.50,"This course provides a survey of computer systems and software, including an introduction to computer programming, data organization and the social impact of computing. The course emphasizes application packages for personal and business use. ",,,"CIS*1200, Not available to students registered in BASC:AHN, BCOMP degree or a CIS minor.",,School of Computer Science,Offered through Distance Education format only.,

CIS*1050,CIS,1050,Web Design and Development,"S,W",0,0,0.50,"An introduction to the basics of designing and developing a website. It examines the basic concepts, technologies, issues and techniques required to develop and maintain websites. The course is suitable for students with no previous programming experience. ",,,,,School of Computer Science,Offered through Distance Education format only.,

CIS*1200,CIS,1200,Introduction to Computing,"F,W",3,2,0.50,"This course covers an introduction to computer hardware and software, data organization, problem-solving and programming. The course includes exposure to application packages for personal and business use and is intended forstudents who wish a balance between programming and the use of software packages. ",,,CIS*1000 Not available to students registered in a BCOMP degree or a CIS minor.,,School of Computer Science,Offered through Distance Education format only.,

CIS*1250,CIS,1250,Software Design I,F,3,2,0.50,"This is an introductory course which involves a general overview of design and problem solving as it is practiced in different disciplines. The course will include an examination of the qualities of software as the end product of the design process. It will include a study of the pervasiveness of software, and the platform specific considerations. The course has an applied focus and will involve software design and development experiences in teams, a literacy component, and the use of software development tools. ",,,Restricted to students in BCOMP:SENG and BCOMP:SENG:C,,School of Computer Science,,

CIS*1300,CIS,1300,Programming,F,3,2,0.50,"This course examines the applied and conceptual aspects of programming. Topics may include data and control structures, program design, problem solving and algorithm design, operating systems concepts, and fundamental programming skills. This course is intended for students who plan to take later CIS courses. If your degree does not require further CIS courses consider CIS*1500 Introduction to Programming. ",,,CIS*1500 This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,,School of Computer Science,,

CIS*1500,CIS,1500,Introduction to Programming,"F,W",3,1,0.50,"This course introduces problem-solving, programming and data organization techniques required for applications using a general purpose programming language. Topics include control structures, data representation and manipulation, program logic, development and testing. This course is intended for students who do not intend to enroll in further CIS courses. If your degree requires further CIS courses, CIS*1300, is required. ",,,"CIS*1300 Not available to students registered in a BCOMP degree, a CIS minor, BENG:CENG or BENG:ESC.",,School of Computer Science,Also offered through Distance Education format.,

CIS*1910,CIS,1910,Discrete Structures in Computing I,F,3,2,0.50,"This course is an introduction to discrete structures and formal methodologies used in computer science, including Boolean, algebra, propositional logic, predicate logic, proof techniques, set theory, equivalence relations, order relations, and functions. ",,,,,School of Computer Science,,

CIS*2030,CIS,2030,Structure and Application of Microcomputers,F,3,3,0.50,"This course examines the components of a computer system, including memories, CPU, buses, and input/output subsystems and interface hardware. Programming of these systems is studied, including instruction sets, addressing modes, assembly/machine language programming, development of algorithms for data acquisition, display, and process control. ","CIS*1910, CIS*2500",,,,School of Computer Science,,

CIS*2170,CIS,2170,User Interface Design,W,3,2,0.75,"This course is a practical introduction to the area of user interface construction. Topics include user interface components and their application, best practices for user interface design, approaches to prototyping, and techniques for assessing interface suitability. ","1 of CIS*1200, CIS*1300, CIS*1500",,,,School of Computer Science,,

CIS*2250,CIS,2250,Software Design II,W,3,2,0.50,"This course focuses on the process of software design. Best practices for code development and review will be the examined. The software development process and tools to support this will be studied along with methods for project management. The course has an applied focus and will involve software design and development experiences in teams, a literacy component, and the use of software development tools. ","CIS*1250, CIS*1300",,Restricted to BCOMP:SENG majors.,,School of Computer Science,,

CIS*2430,CIS,2430,Object Oriented Programming,F,3,2,0.50,"This course introduces the Object Oriented (OO) approach to programming and algorithm design. Topics will include the creation and use of objects from class libraries, user defined objects, inheritance, modularity, generic code, components, collections and containers, and an introduction to OO design methodologies. ",CIS*2500,,,,School of Computer Science,,

CIS*2500,CIS,2500,Intermediate Programming,W,3,2,0.50,"In this course students learn to interpret a program specification and implement it as reliable code, as they gain experience with pointers, complex data types, important algorithms, intermediate tools and techniques in problem solving, programming, and program testing. ",CIS*1300,,,,School of Computer Science,,

CIS*2520,CIS,2520,Data Structures,F,3,2,0.50,"This course is a study of basic data structures, such as lists, stacks, queues, trees, and tables. Topics which will be examined include abstract data types, sequential and linked representations, and an introduction to algorithm analysis; various traversal, search, insertion, removal, and sorting algorithms. ","CIS*2500, (1 of CIS*1910, ENGG*1500, MATH*2000)",,,,School of Computer Science,,

CIS*2750,CIS,2750,Software Systems Development and Integration,W,3,2,0.75,"This course introduces techniques and tools used in the development of large software systems. Students learn methods for organizing and constructing modular systems, manipulating files, introductory interface design, and use of databases. Software tools for managing projects, database connectivity, configuration management, and system application programmer interfaces are also covered. ","CIS*2430, CIS*2520",,,,School of Computer Science,,

CIS*2910,CIS,2910,Discrete Structures in Computing II,W,3,2,0.50,"This course is a further introduction to discrete structures and formal methodologies used in computer science, including sequences, summations, recursion, combinatorics, discrete probability, and graph theory. ","CIS*1300, (CIS*1910 or ENGG*1500)",,,,School of Computer Science,,

CIS*3050,CIS,3050,Systems Programming,F,3,1,0.50,"This course will familiarize students with system level interface tools and their common applications. The purpose, function, design and use of these tools will be explored, allowing students to determine where and when these tools are useful in software development projects. Tools examined in the course include loadable libraries, file system locking, signals, pipes, asynchronous reading/writing to files and memory, file system sockets, shared memory models, and hardware device properties and control. ",CIS*3110,,,,School of Computer Science,,

CIS*3090,CIS,3090,Parallel Programming,F,3,1,0.50,"This course examines the current techniques for design and development of parallel programs targeted for platforms ranging from multicore computers to high-performance clusters, with and without shared memory. It includes theoretical models for, and hardware effects on, parallel computation, the definitions of speedup, scalability, and data- versus task-parallel approaches. The course will also examine strategies for achieving speedup based on controlling granularity, resource contention, idle time, threading overhead, work allocation, and data localization. ","(CIS*2030 or ENGG*3640), CIS*3110",,,,School of Computer Science,,

CIS*3110,CIS,3110,Operating Systems I,W,3,1,0.50,"This course covers operating systems in theory and practice by focusing on the components in a system: scheduling, resource allocation, process management, multi-programming, multi-tasking, I/O control, file systems, and mechanisms for client-server computing using examples from contemporary operating systems. ","CIS*2520, (CIS*2030 or ENGG*2410).",,,,School of Computer Science,,

CIS*3120,CIS,3120,Digital Systems I,W,3,2,0.50,"This course examines Boolean algebra, minimization of Boolean expressions, design of combinational and sequential logic circuits, memory design, control, ALU, bus design, microprogramming and CPU design. ","CIS*1910, CIS*2500",,,,School of Computer Science,,

CIS*3130,CIS,3130,System Modeling and Simulation,F,3,2,0.50,"This course examines discrete simulation based on event queues and random number generation. The topics covered include discrete-event simulation models, random number generators, generating random variates and processes, input modeling, model verification and validation. Application areas such as manufacturing, services, and computing are highlighted. ","CIS*2500, STAT*2040",,CIS*2460,,School of Computer Science,,

CIS*3150,CIS,3150,Theory of Computation,F,3,0,0.50,"This course explores the theory of computation including automata theory, Turing machines and their variants, formal languages, parsing, the Halting problem, undecidability, and NP-completeness. ","CIS*2750, CIS*3490",,,,School of Computer Science,,

CIS*3190,CIS,3190,Software for Legacy Systems,W,0,0,0.50,"This course is an introduction to legacy software systems used in business, manufacturing, and engineering. Topics include COBOL programming, mainframe systems, and integration of legacy systems with contemporary computing systems. ",CIS*2500 or work experience in a related field.,,,,School of Computer Science,Offered through Distance Education format only.,

CIS*3210,CIS,3210,Computer Networks,F,3,1,0.50,"This course covers the high-level (protocol) oriented aspects of computer networks, specifically: application, session, transport and network layers. It includes the Internet, socket-level programming, multimedia and quality of service issues. The hardware aspects (switches, LANs, modems, transmission paths) are only covered at a functional level. ",CIS*3110,,,,School of Computer Science,,

CIS*3250,CIS,3250,Software Design III,F,3,3,0.50,"This course will examine the historical development of design methodologies and working with legacy systems. It will include an examination of programming paradigms and trends in software design from the past and present. The course has an applied focus and will involve software design and development experiences in teams, a literacy component, and the use of software development tools. ","CIS*2250, CIS*2500",,,,School of Computer Science,,

CIS*3260,CIS,3260,Software Design IV,F,3,3,0.50,"This course is a study of software architectures and system design methodologies. This will include advanced techniques for project management and experience evaluating software tools. The course has an applied focus and will involve software design and development experiences in teams, a literacy component, and the use of software development tools. ","CIS*2750, CIS*3250, CIS*3760",,,,School of Computer Science,,

CIS*3490,CIS,3490,The Analysis and Design of Computer Algorithms,W,3,2,0.50,"The design and analysis of efficient computer algorithms are studied. Topics which will be studied include: standard methodologies, asymptotic behaviour, optimality, lower bounds, implementation considerations, graph algorithms, matrix computations (e.g. Strassen's method), NP-completeness. ","[CIS*1910 or (CIS*2910 and ENGG*1500)], CIS*2520",,,,School of Computer Science,,

CIS*3530,CIS,3530,Data Base Systems and Concepts,F,3,1,0.50,"This course is a study of data organization and data management principles with the perspective of analyzing applications suitable for implementation using a DBMS. This will include an analysis of several data base models, query specification methods, and query processing techniques. Overview of several related issues including concurrency control, security, integrity and recovery. Students will demonstrate concepts through project assignments. ",CIS*2520,,,,School of Computer Science,,

CIS*3700,CIS,3700,Introduction to Intelligent Systems,W,3,1,0.50,"This course covers the core topics of Artificial Intelligence, namely: agents and environment, search, knowledge representation, reasoning, and learning. The last three topics are covered using logic as the common formalism for coherence. The course introduces a broad range of basic concepts, terminology, and applications, in addition to providing some specific, widely applicable methodologies. ","(CIS*3750 or CIS*3760), (CIS*2460 or STAT*2040)",,,,School of Computer Science,,

CIS*3750,CIS,3750,System Analysis and Design in Applications,"F,W",3,2,0.75,"This course is an introduction to the issues and techniques encountered in the design and construction of software systems, focusing on the theory and models of software evolution. Topics include requirements and specifications, prototyping, design principles, object-oriented analysis and design, standards, integration, risk analysis, testing and debugging. ",CIS*2750,,,,School of Computer Science,,

CIS*3760,CIS,3760,Software Engineering,"F,W",3,2,0.75,"This course is an examination of the software engineering process, the production of reliable systems and techniques for the design and development of complex software. Topics include object-oriented analysis, design and modeling, software architectures, software reviews, software quality, software engineering, ethics, maintenance and formal specifications. ",CIS*3750,,,,School of Computer Science,,

CIS*4010,CIS,4010,Cloud Computing,W,3,0,0.50,"This course introduces students to fundamentals of cloud computing and software development for cloud platforms. It covers topics such as virtualization, architecture of cloud systems, programming for the cloud, resource management, as well as privacy and security issues. ",CIS*3110,,,,School of Computer Science,,

CIS*4020,CIS,4020,Data Science,F,3,1,0.50,"Data Science focuses on extracting the important relations in data. The course is intended as a survey of the discipline and focuses on applied computational methods for data analysis. Topics include algorithms, computational and machine learning methods, software tools, and modeling, as they apply to the analysis of and discovery in big data. ","CIS*2750, MATH*1160, STAT*2040",,,,School of Computer Science,Offered in odd-numbered years.,

CIS*4030,CIS,4030,Mobile Computing,W,3,0,0.50,"This course introduces students to mobile computing and mobile application development. It examines mobile technology, application development, user interaction, data storage, and software tools. ","CIS*2030, CIS*2750, CIS*3110",,,,School of Computer Science,,

CIS*4050,CIS,4050,Digital Systems II,F,3,1,0.50,"This course examines central processor architectures, control and microprogramming, memory systems, special architectures, underlying support for special architectures, architectures suitable for very large scale integration. ","CIS*3110, CIS*3120",,,,School of Computer Science,Offered in even-numbered years.,

CIS*4150,CIS,4150,Software Reliability and Testing,F,2,2,0.50,"This course serves as an introduction to systematic methods of testing and verification, covering a range of static and dynamic techniques and their use within the software development process. Concepts such as defining necessary reliability, developing operational profiles, techniques to improve and predict software reliability, preparing and executing tests, black box testing, white box testing, unit testing, system testing, and integration testing will be explained. ",CIS*3750 or CIS*3760,,,,School of Computer Science,,

CIS*4250,CIS,4250,Software Design V,W,0,6,0.50,"This is a capstone course which applies the knowledge gained from the previous Software Design courses to a large team project. The course has an applied focus and will involve software design and development experiences in teams, a literacy component, and the use of software development tools. ","CIS*2750, CIS*3260",,,,School of Computer Science,,

CIS*4300,CIS,4300,Human Computer Interaction,F,2,2,0.50,"This course examines the methods for user interface software design, including interface representations and testing. Topics which will be studied include the evaluation and design of sample application systems, impacts of computer-based information systems on individuals and organizations, implementation and testing tools, and planning of learning stages and design of assistance subsystems. ","CIS*3110, (CIS*3750 or CIS*3760)",,,,School of Computer Science,,

CIS*4450,CIS,4450,Special Topics in Information Science,U,3,1,0.50,"A variety of advanced topics mainly from areas within general information processing. Subject areas discussed in any particular semester will depend on the interests of the students and the instructor. Students should check with the School of Computer Science to determine what topic will be offered during specific semesters and which prerequisites, if any, are appropriate. ",,,Instructor consent required.,,School of Computer Science,,

CIS*4500,CIS,4500,Special Topics in Computing Science,U,3,1,0.50,"A variety of advanced topics within Computing Science. Subject areas discussed in any particular semester will depend upon the interests of both the students and the instructor. Students should check with the School of Computer Science to determine what topic will be offered during specific semesters and which prerequisites, if any, are appropriate. ",,,Instructor consent required.,,School of Computer Science,,

CIS*4510,CIS,4510,Computer Security Foundations,F,3,2,0.50,"This course covers basic concepts and practices in computer and network security. This includes topics such as fundamental concepts of computer security, network security, threat landscape, threat intelligence and attack methods, ethical hacking concepts and other hacking techniques, security technology and security policies, and cloud security. ",CIS*3210,,CIS*4110,,School of Computer Science,,

CIS*4520,CIS,4520,Introduction to Cryptography,W,3,2,0.50,"This course is an introduction to the foundations of modern cryptography, with an eye toward practical applications. Topics covered include classical systems, information theory, mathematical background material, symmetric and asymmetric crypto-systems and their cryptanalysis, hash functions and message authentication (MAC), provable security, key-exchange and management, authentication and digital signatures. Importance of learning Cryptography in Digital Forensics will also be discussed ",CIS*3490,,CIS*4110,,School of Computer Science,,

CIS*4650,CIS,4650,Compilers,W,3,1,0.50,"This course is a detailed study of the compilation process. Topics include interpreters, overall design implementation of a compiler, techniques for parsing, building and manipulating intermediate representations of a program, implementation of important features, code generation and optimization. ","CIS*2030, CIS*3110, CIS*3150",,,,School of Computer Science,,

CIS*4720,CIS,4720,Image Processing and Vision,W,3,1,0.50,"This course is an introduction to the process of image processing. Emphasis is placed on topics such as image enhancement, segmentation morphological analysis, texture analysis, visualization and image transformations. Applications of image processing in medicine, forensics, food and security are surveyed. ","CIS*2750, CIS*3110, (CIS*2460 or STAT*2040)",,,,School of Computer Science,Offered in odd-numbered years.,

CIS*4780,CIS,4780,Computational Intelligence,U,3,1,0.50,"This course introduces concepts of soft computing: modelling uncertainty, granular computing, neurocomputing, evolutionary computing, probabilistic computing and soft computing for software engineering. ","CIS*3490, (CIS*3750 or CIS*3760), (CIS*2460 or STAT*2040)",,,,School of Computer Science,Offered in odd-numbered years.,

CIS*4800,CIS,4800,Computer Graphics,W,3,1,0.50,"This course is an introduction to computer graphics. Topics include graphics programming concepts, geometrical transformations, viewing 3-D projections, raster graphics, sculptured surfaces, visible surface determination, image processing and other special topics. Practical issues will be covered by assignment using currently available graphics equipment. ","CIS*3110, (CIS*3750 or CIS*3760)",,,,School of Computer Science,Offered in even-numbered years.,

CIS*4820,CIS,4820,Game Programming,W,3,1,0.50,"This course will focus on the components found in modern 3-D game engines. It will emphasize the algorithms and data structures required to create real-time computer graphics, sound and network communications. ","CIS*3110, (CIS*3750 or CIS*3760)",,,,School of Computer Science,Offered in odd-numbered years.,

CIS*4900,CIS,4900,Computer Science Project,"S,F,W",0,6,0.50,"Planning, developing and writing a research proposal under individual faculty supervision. The course, in continuation with CIS*4910 provides senior undergraduates an opportunity to pursue an independent course of study. The topic selected will be determined by agreement between the student and the faculty member with expertise in the area. ",7.00 credits in CIS,,Instructor consent required.,,School of Computer Science,,

CIS*4910,CIS,4910,Computer Science Thesis,"S,F,W",0,6,0.50,This course is a continuation of CIS*4900. The student will conduct and write an undergraduate thesis under the individual supervision of a faculty member. In addition the student is required to present their work in a seminar and also participate in the critical analysis and review of the work of other students taking this course. ,CIS*4900,,Instructor consent required.,,School of Computer Science,,

COOP*1100,COOP,1100,Introduction to Co-operative Education,"F,W",1,0,0.00,"This course will introduce students to the theory, practice and policies of co-operative education at the University of Guelph. Students will learn to take full advantage of the co-op option. They will acquire practice in the skills required to succeed in the competitive process of securing suitable work terms. Specifically, the course will cover: characteristics and expectations of professional work environments, interview skills, resume and cover letter writing, as well as general skills required to be successful in the co-op program. Students also obtain practice in the co-op employment process. ",2.00 credits,,Enrolment in a co-operative education program,,Co-operative Education & Career,Offered through Distance Education format only.,

COOP*1000,COOP,1000,Co-op Work Term I,"F,W,S",3,0,0.50,This is a semester long experience in a paid work setting. Co-op work semesters differ depending on the program and major. Location of the work term is varied. Refer to the schedule of studies for your degree program to determine which semester this course is scheduled. Students must obtain a passing work report evaluation and work performance evaluation grade in order to continue in the Co-op Program. ,COOP*1100,,,,Co-operative Education & Career,,

COOP*2000,COOP,2000,Co-op Work Term II,"F,W,S",3,0,0.50,This is a semester long experience in a paid work setting. Co-op work semesters differ depending on the program and major. Location of the work term is varied. Refer to the schedule of studies for your degree program to determine which semester this course is scheduled. Students must obtain a passing work report evaluation and work performance evaluation grade in order to continue in the Co-op Program. ,Completion of previous co-op work requirements in COOP*1000,,,,Co-operative Education & Career,,

COOP*3000,COOP,3000,Co-op Work Term III,"F,W,S",3,0,0.50,This is a semester long experience in a paid work setting. Co-op work semesters differ depending on the program and major. Location of the work term is varied. Refer to the schedule of studies for your degree program to determine which semester this course is scheduled. Students must obtain a passing work report evaluation and work performance evaluation grade in order to continue in the Co-op Program. ,Completion of previous co-op work requirements in COOP*2000,,,,Co-operative Education & Career,,

COOP*4000,COOP,4000,Co-op Work Term IV,"F,W,S",3,0,0.50,This is a semester long experience in a paid work setting. Co-op work semesters differ depending on the program and major. Location of the work term is varied. Refer to the schedule of studies for your degree program to determine which semester this course is scheduled. Students must obtain a passing work report evaluation and work performance evaluation grade in order to continue in the Co-op Program ,Completion of previous co-op work requirements in COOP*3000,,,,Co-operative Education & Career,,

COOP*5000,COOP,5000,Co-op Work Term V,"F,W,S",3,0,0.50,This is a semester long experience in a paid work setting. Co-op work semesters differ depending on the program and major. Location of the work term is varied. Refer to the schedule of studies for your degree program to determine which semester this course is scheduled. Students must obtain a passing work report evaluation and work performance evaluation grade in order to continue in the Co-op Program. ,Completion of previous co-op work requirements in COOP*4000,,,,Co-operative Education & Career,,

CROP*3300,CROP,3300,Grain Crops,W,3,0,0.50,"Management strategies and world production of the major temperate grain crops are studied relative to their botanical and physiological characteristics and to available environmental resources. The utilization of grain crops for human food, livestock feed, and various industrial products are examined. ",AGR*2050 or AGR*2470,,,,Department of Plant Agriculture,,

CROP*3310,CROP,3310,Protein and Oilseed Crops,F,3,0,0.50,"Management strategies and world production of the major temperate protein and oilseed crops are studied relative to their botanical and physiological characteristics and to available environmental resources. The utilization of protein and oilseed crops for human food, livestock feed and various industrial products are examined. ",AGR*2050 or AGR*2470,,,,Department of Plant Agriculture,,

CROP*3340,CROP,3340,Managed Grasslands,F,3,2,0.50,"Managed forage grasses and legumes provide grazing, cover crops, conserved feed, and a wider range of services to the environment and society at large. Agro-ecological, genetic, and managerial considerations will be integrated toward addressing questions of ruminant and equine production and environmental management. Forage species will be distinguished morphologically and physiologically, focusing on adaptation to climatic, edaphic, and managerial constraints and applications for horses, including weed and poisonous plant risks. Topics will include: sward lifespan, establishment and maintenance practices, forage quality indices, integration of harvest management for pastures and stored feed, and environmental implications for plant and animal biodiversity and water quality. ","1 of AGR*2050, AGR*2320, AGR*2470, ENVS*2060",,,,Department of Plant Agriculture,,

CROP*4220,CROP,4220,Cropping Systems,W,3,0,0.50,"This course will cover the design of cropping systems for specific livestock, poultry and cash crop enterprises; integration of all factors affecting crop yields, quality and economy of production such as choice and interchangeability of crops, crop sequence, tillage, pest control, seasonal work programming, harvesting, drying and storage. ","(1 of CROP*3300, CROP*3310, CROP*3340), (1 of AGR*2320, ENVS*3080, ENVS*4090, ENVS*4160)",,,,Department of Plant Agriculture,,

CROP*4240,CROP,4240,Weed Science,F,3,3,0.50,"Weeds will be studied in relation to agricultural practices. Principles of chemical, mechanical and biological control will be outlined. Laboratories will include weed identification, weed control methods, and demonstrations of the effects of various herbicides. ",AGR*2470,,,,Department of Plant Agriculture,,

CROP*4260,CROP,4260,Crop Science Field Trip,F,0,4,0.50,"This field study course is designed to increase the student's knowledge of agricultural production, agricultural policy and agri-business. Students will tour the midwestern United States just prior to the start of the fall semester, visiting cash crop, horticultural and livestock farms, and supporting industries such as processing, manufacturing, elevators and stockyards. A student fee will be assessed to cover transportation and lodging. ",12.50 credits including AGR*2470,,A cumulative average of 65%. Instructor consent required.,,Department of Plant Agriculture,,

ECON*1050,ECON,1050,Introductory Microeconomics,"S,F,W",3,0,0.50,"An introduction to the Canadian economy: price determination, market structure and resource allocation; the behaviour of consumers and firms; market intervention by government. Some of the economic issues addressed may include agricultural price supports, rent control, the NAFTA, environmental regulation, price discrimination, pay equity, and taxation. ",,,,ECON*1200,Department of Economics and Finance,Also offered through Distance Education format.,

ECON*1100,ECON,1100,Introductory Macroeconomics,"S,F,W",3,0,0.50,"This course looks at the Canadian Economy in terms of aggregate performance and policy; analysis of the determinants of national income, employment and the price level, and the role of government monetary and fiscal policies in improving the rate of economic growth. ",,,,,Department of Economics and Finance,Also offered through Distance Education format.,

ECON*2100,ECON,2100,Economic Growth and Environmental Quality,F,3,0,0.50,"This course examines the implications of economic growth on the quality of the environment, employing the basic principles of economic analysis. ",ECON*1050 or FARE*1040,,,,Department of Economics and Finance,Also offered through Distance Education format.,

ECON*2310,ECON,2310,Intermediate Microeconomics,"S,F,W",3,0,0.50,This course is an analysis of the behaviour of households and firms under alternative assumptions and market conditions.,"(ECON*1050 or FARE*1040), (1 of IPS*1500, MATH*1030, MATH*1080, MATH*1200)",,,,Department of Economics and Finance,Also offered through Distance Education format.,

ECON*2410,ECON,2410,Intermediate Macroeconomics,"S,F,W",3,0,0.50,"This course is an analysis of open as well as closed economy models of aggregate spending, output, employment, prices and interest rates under alternative assumptions about the nature of labour, product and financial markets. This includes theories of consumption, investment and money demand. ","ECON*1100, (1 of IPS*1500, MATH*1030, MATH*1080, MATH*1200)",,,,Department of Economics and Finance,Also offered through Distance Education format.,

ECON*2420,ECON,2420,Canadian Economic History,W,3,0,0.50,"This course surveys the development of the Canadian economy from the aboriginal economy to the early fur and fish trades, agricultural settlement, industrialization, the Great Depression, growth of the public sector and fast economic growth after World War Two. Particular attention is paid to international economic relations and to regional differences within Canada. ","ECON*1050, (ECON*1100 or HIST*2450)",,,,Department of Economics and Finance,,

